game,hero,win,side,first_pick_status,pick,order_absolute,order_relative
4062017242,Pugna,Loss,The Dire,Second,pick,8,1
4062017242,Wraith King,Loss,The Dire,Second,pick,9,2
4062017242,Crystal Maiden,Loss,The Dire,Second,pick,15,3
4062017242,Spectre,Loss,The Dire,Second,pick,17,4
4062017242,Kunkka,Loss,The Dire,Second,pick,22,5
4062017242,Io,Loss,The Dire,Second,ban,2,1
4062017242,Enchantress,Loss,The Dire,Second,ban,4,2
4062017242,Silencer,Loss,The Dire,Second,ban,6,3
4062017242,Tiny,Loss,The Dire,Second,ban,12,4
4062017242,Huskar,Loss,The Dire,Second,ban,14,5
4062017242,Nyx Assassin,Loss,The Dire,Second,ban,19,6
4062017242,Dark Willow,Win,The Radiant,First,pick,7,1
4062017242,Phantom Lancer,Win,The Radiant,First,pick,10,2
4062017242,Vengeful Spirit,Win,The Radiant,First,pick,16,3
4062017242,Dragon Knight,Win,The Radiant,First,pick,18,4
4062017242,Mirana,Win,The Radiant,First,pick,21,5
4062017242,Treant Protector,Win,The Radiant,First,ban,1,1
4062017242,Necrophos,Win,The Radiant,First,ban,3,2
4062017242,Weaver,Win,The Radiant,First,ban,5,3
4062017242,Phoenix,Win,The Radiant,First,ban,11,4
4062017242,Earthshaker,Win,The Radiant,First,ban,13,5
4062017242,Timbersaw,Win,The Radiant,First,ban,20,6
4062045592,Bane,Loss,The Dire,First,pick,7,1
4062045592,Weaver,Loss,The Dire,First,pick,10,2
4062045592,Elder Titan,Loss,The Dire,First,pick,16,3
4062045592,Tiny,Loss,The Dire,First,pick,18,4
4062045592,Underlord,Loss,The Dire,First,pick,21,5
4062045592,Dark Willow,Loss,The Dire,First,ban,1,1
4062045592,Vengeful Spirit,Loss,The Dire,First,ban,3,2
4062045592,Silencer,Loss,The Dire,First,ban,5,3
4062045592,Necrophos,Loss,The Dire,First,ban,11,4
4062045592,Faceless Void,Loss,The Dire,First,ban,13,5
4062045592,Ursa,Loss,The Dire,First,ban,20,6
4062045592,Mirana,Win,The Radiant,Second,pick,8,1
4062045592,Shadow Demon,Win,The Radiant,Second,pick,9,2
4062045592,Dragon Knight,Win,The Radiant,Second,pick,15,3
4062045592,Nyx Assassin,Win,The Radiant,Second,pick,17,4
4062045592,Timbersaw,Win,The Radiant,Second,pick,22,5
4062045592,Io,Win,The Radiant,Second,ban,2,1
4062045592,Enchantress,Win,The Radiant,Second,ban,4,2
4062045592,Treant Protector,Win,The Radiant,Second,ban,6,3
4062045592,Legion Commander,Win,The Radiant,Second,ban,12,4
4062045592,Huskar,Win,The Radiant,Second,ban,14,5
4062045592,Omniknight,Win,The Radiant,Second,ban,19,6
4062047269,Earthshaker,Loss,The Radiant,First,pick,7,1
4062047269,Clinkz,Loss,The Radiant,First,pick,10,2
4062047269,Nature's Prophet,Loss,The Radiant,First,pick,16,3
4062047269,Shadow Fiend,Loss,The Radiant,First,pick,18,4
4062047269,Abaddon,Loss,The Radiant,First,pick,21,5
4062047269,Chen,Loss,The Radiant,First,ban,1,1
4062047269,Tiny,Loss,The Radiant,First,ban,3,2
4062047269,Undying,Loss,The Radiant,First,ban,5,3
4062047269,Winter Wyvern,Loss,The Radiant,First,ban,11,4
4062047269,Ursa,Loss,The Radiant,First,ban,13,5
4062047269,Sven,Loss,The Radiant,First,ban,20,6
4062047269,Silencer,Win,The Dire,Second,pick,8,1
4062047269,Wraith King,Win,The Dire,Second,pick,9,2
4062047269,Phoenix,Win,The Dire,Second,pick,15,3
4062047269,Dragon Knight,Win,The Dire,Second,pick,17,4
4062047269,Templar Assassin,Win,The Dire,Second,pick,22,5
4062047269,Enchantress,Win,The Dire,Second,ban,2,1
4062047269,Necrophos,Win,The Dire,Second,ban,4,2
4062047269,Pugna,Win,The Dire,Second,ban,6,3
4062047269,Phantom Lancer,Win,The Dire,Second,ban,12,4
4062047269,Broodmother,Win,The Dire,Second,ban,14,5
4062047269,Ogre Magi,Win,The Dire,Second,ban,19,6
4062098361,Earthshaker,Loss,The Dire,First,pick,7,1
4062098361,Weaver,Loss,The Dire,First,pick,10,2
4062098361,Mirana,Loss,The Dire,First,pick,16,3
4062098361,Oracle,Loss,The Dire,First,pick,18,4
4062098361,Kunkka,Loss,The Dire,First,pick,21,5
4062098361,Chen,Loss,The Dire,First,ban,1,1
4062098361,Tiny,Loss,The Dire,First,ban,3,2
4062098361,Silencer,Loss,The Dire,First,ban,5,3
4062098361,Lion,Loss,The Dire,First,ban,11,4
4062098361,Bloodseeker,Loss,The Dire,First,ban,13,5
4062098361,Templar Assassin,Loss,The Dire,First,ban,20,6
4062098361,Wraith King,Win,The Radiant,Second,pick,8,1
4062098361,Dark Willow,Win,The Radiant,Second,pick,9,2
4062098361,Ogre Magi,Win,The Radiant,Second,pick,15,3
4062098361,Dragon Knight,Win,The Radiant,Second,pick,17,4
4062098361,Spectre,Win,The Radiant,Second,pick,22,5
4062098361,Enchantress,Win,The Radiant,Second,ban,2,1
4062098361,Necrophos,Win,The Radiant,Second,ban,4,2
4062098361,Pugna,Win,The Radiant,Second,ban,6,3
4062098361,Phantom Lancer,Win,The Radiant,Second,ban,12,4
4062098361,Nature's Prophet,Win,The Radiant,Second,ban,14,5
4062098361,Drow Ranger,Win,The Radiant,Second,ban,19,6
4062034566,Chen,Win,The Radiant,Second,pick,8,1
4062034566,Enchantress,Win,The Radiant,Second,pick,9,2
4062034566,Clockwerk,Win,The Radiant,Second,pick,15,3
4062034566,Phantom Lancer,Win,The Radiant,Second,pick,17,4
4062034566,Invoker,Win,The Radiant,Second,pick,22,5
4062034566,Tiny,Win,The Radiant,Second,ban,2,1
4062034566,Necrophos,Win,The Radiant,Second,ban,4,2
4062034566,Silencer,Win,The Radiant,Second,ban,6,3
4062034566,Mirana,Win,The Radiant,Second,ban,12,4
4062034566,Storm Spirit,Win,The Radiant,Second,ban,14,5
4062034566,Ember Spirit,Win,The Radiant,Second,ban,19,6
4062034566,Crystal Maiden,Loss,The Dire,First,pick,7,1
4062034566,Clinkz,Loss,The Dire,First,pick,10,2
4062034566,Wraith King,Loss,The Dire,First,pick,16,3
4062034566,Riki,Loss,The Dire,First,pick,18,4
4062034566,Windranger,Loss,The Dire,First,pick,21,5
4062034566,Broodmother,Loss,The Dire,First,ban,1,1
4062034566,Spectre,Loss,The Dire,First,ban,3,2
4062034566,Pugna,Loss,The Dire,First,ban,5,3
4062034566,Weaver,Loss,The Dire,First,ban,11,4
4062034566,Dragon Knight,Loss,The Dire,First,ban,13,5
4062034566,Templar Assassin,Loss,The Dire,First,ban,20,6
4062061780,Silencer,Loss,The Radiant,First,pick,7,1
4062061780,Earthshaker,Loss,The Radiant,First,pick,10,2
4062061780,Pangolier,Loss,The Radiant,First,pick,16,3
4062061780,Shadow Fiend,Loss,The Radiant,First,pick,18,4
4062061780,Sven,Loss,The Radiant,First,pick,21,5
4062061780,Necrophos,Loss,The Radiant,First,ban,1,1
4062061780,Winter Wyvern,Loss,The Radiant,First,ban,3,2
4062061780,Tiny,Loss,The Radiant,First,ban,5,3
4062061780,Clockwerk,Loss,The Radiant,First,ban,11,4
4062061780,Wraith King,Loss,The Radiant,First,ban,13,5
4062061780,Weaver,Loss,The Radiant,First,ban,20,6
4062061780,Crystal Maiden,Win,The Dire,Second,pick,8,1
4062061780,Phantom Lancer,Win,The Dire,Second,pick,9,2
4062061780,Vengeful Spirit,Win,The Dire,Second,pick,15,3
4062061780,Lina,Win,The Dire,Second,pick,17,4
4062061780,Ursa,Win,The Dire,Second,pick,22,5
4062061780,Broodmother,Win,The Dire,Second,ban,2,1
4062061780,Spectre,Win,The Dire,Second,ban,4,2
4062061780,Chen,Win,The Dire,Second,ban,6,3
4062061780,Storm Spirit,Win,The Dire,Second,ban,12,4
4062061780,Pugna,Win,The Dire,Second,ban,14,5
4062061780,Faceless Void,Win,The Dire,Second,ban,19,6
4062142402,Mirana,Loss,The Dire,First,pick,7,1
4062142402,Shadow Demon,Loss,The Dire,First,pick,10,2
4062142402,Clockwerk,Loss,The Dire,First,pick,16,3
4062142402,Dragon Knight,Loss,The Dire,First,pick,18,4
4062142402,Visage,Loss,The Dire,First,pick,21,5
4062142402,Chen,Loss,The Dire,First,ban,1,1
4062142402,Ursa,Loss,The Dire,First,ban,3,2
4062142402,Dark Willow,Loss,The Dire,First,ban,5,3
4062142402,Tiny,Loss,The Dire,First,ban,11,4
4062142402,Broodmother,Loss,The Dire,First,ban,13,5
4062142402,Nature's Prophet,Loss,The Dire,First,ban,20,6
4062142402,Undying,Win,The Radiant,Second,pick,8,1
4062142402,Necrophos,Win,The Radiant,Second,pick,9,2
4062142402,Earthshaker,Win,The Radiant,Second,pick,15,3
4062142402,Weaver,Win,The Radiant,Second,pick,17,4
4062142402,Lycan,Win,The Radiant,Second,pick,22,5
4062142402,Io,Win,The Radiant,Second,ban,2,1
4062142402,Crystal Maiden,Win,The Radiant,Second,ban,4,2
4062142402,Enchantress,Win,The Radiant,Second,ban,6,3
4062142402,Huskar,Win,The Radiant,Second,ban,12,4
4062142402,Bloodseeker,Win,The Radiant,Second,ban,14,5
4062142402,Luna,Win,The Radiant,Second,ban,19,6
4062183675,Necrophos,Loss,The Dire,First,pick,7,1
4062183675,Rubick,Loss,The Dire,First,pick,10,2
4062183675,Shadow Shaman,Loss,The Dire,First,pick,16,3
4062183675,Wraith King,Loss,The Dire,First,pick,18,4
4062183675,Mirana,Loss,The Dire,First,pick,21,5
4062183675,Chen,Loss,The Dire,First,ban,1,1
4062183675,Ursa,Loss,The Dire,First,ban,3,2
4062183675,Dark Willow,Loss,The Dire,First,ban,5,3
4062183675,Clinkz,Loss,The Dire,First,ban,11,4
4062183675,Lycan,Loss,The Dire,First,ban,13,5
4062183675,Huskar,Loss,The Dire,First,ban,20,6
4062183675,Undying,Win,The Radiant,Second,pick,8,1
4062183675,Weaver,Win,The Radiant,Second,pick,9,2
4062183675,Vengeful Spirit,Win,The Radiant,Second,pick,15,3
4062183675,Drow Ranger,Win,The Radiant,Second,pick,17,4
4062183675,Invoker,Win,The Radiant,Second,pick,22,5
4062183675,Io,Win,The Radiant,Second,ban,2,1
4062183675,Crystal Maiden,Win,The Radiant,Second,ban,4,2
4062183675,Enchantress,Win,The Radiant,Second,ban,6,3
4062183675,Axe,Win,The Radiant,Second,ban,12,4
4062183675,Bloodseeker,Win,The Radiant,Second,ban,14,5
4062183675,Broodmother,Win,The Radiant,Second,ban,19,6
4063131437,Vengeful Spirit,Loss,The Radiant,Second,pick,8,1
4063131437,Weaver,Loss,The Radiant,Second,pick,9,2
4063131437,Earth Spirit,Loss,The Radiant,Second,pick,15,3
4063131437,Bristleback,Loss,The Radiant,Second,pick,17,4
4063131437,Dragon Knight,Loss,The Radiant,Second,pick,22,5
4063131437,Silencer,Loss,The Radiant,Second,ban,2,1
4063131437,Wraith King,Loss,The Radiant,Second,ban,4,2
4063131437,Nature's Prophet,Loss,The Radiant,Second,ban,6,3
4063131437,Dark Willow,Loss,The Radiant,Second,ban,12,4
4063131437,Winter Wyvern,Loss,The Radiant,Second,ban,14,5
4063131437,Outworld Devourer,Loss,The Radiant,Second,ban,19,6
4063131437,Tiny,Win,The Dire,First,pick,7,1
4063131437,Broodmother,Win,The Dire,First,pick,10,2
4063131437,Kunkka,Win,The Dire,First,pick,16,3
4063131437,Bane,Win,The Dire,First,pick,18,4
4063131437,Mirana,Win,The Dire,First,pick,21,5
4063131437,Necrophos,Win,The Dire,First,ban,1,1
4063131437,Clinkz,Win,The Dire,First,ban,3,2
4063131437,Enchantress,Win,The Dire,First,ban,5,3
4063131437,Templar Assassin,Win,The Dire,First,ban,11,4
4063131437,Meepo,Win,The Dire,First,ban,13,5
4063131437,Bloodseeker,Win,The Dire,First,ban,20,6
4063202564,Undying,Win,The Radiant,Second,pick,8,1
4063202564,Wraith King,Win,The Radiant,Second,pick,9,2
4063202564,Io,Win,The Radiant,Second,pick,15,3
4063202564,Gyrocopter,Win,The Radiant,Second,pick,17,4
4063202564,Ember Spirit,Win,The Radiant,Second,pick,22,5
4063202564,Silencer,Win,The Radiant,Second,ban,2,1
4063202564,Tiny,Win,The Radiant,Second,ban,4,2
4063202564,Broodmother,Win,The Radiant,Second,ban,6,3
4063202564,Mirana,Win,The Radiant,Second,ban,12,4
4063202564,Bane,Win,The Radiant,Second,ban,14,5
4063202564,Tinker,Win,The Radiant,Second,ban,19,6
4063202564,Spectre,Loss,The Dire,First,pick,7,1
4063202564,Chen,Loss,The Dire,First,pick,10,2
4063202564,Disruptor,Loss,The Dire,First,pick,16,3
4063202564,Shadow Demon,Loss,The Dire,First,pick,18,4
4063202564,Templar Assassin,Loss,The Dire,First,pick,21,5
4063202564,Necrophos,Loss,The Dire,First,ban,1,1
4063202564,Enchantress,Loss,The Dire,First,ban,3,2
4063202564,Clinkz,Loss,The Dire,First,ban,5,3
4063202564,Weaver,Loss,The Dire,First,ban,11,4
4063202564,Pugna,Loss,The Dire,First,ban,13,5
4063202564,Huskar,Loss,The Dire,First,ban,20,6
4063131353,Io,Loss,The Radiant,First,pick,7,1
4063131353,Undying,Loss,The Radiant,First,pick,10,2
4063131353,Centaur Warrunner,Loss,The Radiant,First,pick,16,3
4063131353,Leshrac,Loss,The Radiant,First,pick,18,4
4063131353,Monkey King,Loss,The Radiant,First,pick,21,5
4063131353,Weaver,Loss,The Radiant,First,ban,1,1
4063131353,Silencer,Loss,The Radiant,First,ban,3,2
4063131353,Chen,Loss,The Radiant,First,ban,5,3
4063131353,Bane,Loss,The Radiant,First,ban,11,4
4063131353,Winter Wyvern,Loss,The Radiant,First,ban,13,5
4063131353,Storm Spirit,Loss,The Radiant,First,ban,20,6
4063131353,Wraith King,Win,The Dire,Second,pick,8,1
4063131353,Dark Willow,Win,The Dire,Second,pick,9,2
4063131353,Ogre Magi,Win,The Dire,Second,pick,15,3
4063131353,Phantom Lancer,Win,The Dire,Second,pick,17,4
4063131353,Mirana,Win,The Dire,Second,pick,22,5
4063131353,Necrophos,Win,The Dire,Second,ban,2,1
4063131353,Enchantress,Win,The Dire,Second,ban,4,2
4063131353,Tiny,Win,The Dire,Second,ban,6,3
4063131353,Gyrocopter,Win,The Dire,Second,ban,12,4
4063131353,Ursa,Win,The Dire,Second,ban,14,5
4063131353,Juggernaut,Win,The Dire,Second,ban,19,6
4063222284,Weaver,Win,The Radiant,Second,pick,8,1
4063222284,Tiny,Win,The Radiant,Second,pick,9,2
4063222284,Winter Wyvern,Win,The Radiant,Second,pick,15,3
4063222284,Enigma,Win,The Radiant,Second,pick,17,4
4063222284,Medusa,Win,The Radiant,Second,pick,22,5
4063222284,Io,Win,The Radiant,Second,ban,2,1
4063222284,Enchantress,Win,The Radiant,Second,ban,4,2
4063222284,Necrophos,Win,The Radiant,Second,ban,6,3
4063222284,Bane,Win,The Radiant,Second,ban,12,4
4063222284,Lion,Win,The Radiant,Second,ban,14,5
4063222284,Storm Spirit,Win,The Radiant,Second,ban,19,6
4063222284,Dark Willow,Loss,The Dire,First,pick,7,1
4063222284,Ursa,Loss,The Dire,First,pick,10,2
4063222284,Chen,Loss,The Dire,First,pick,16,3
4063222284,Spectre,Loss,The Dire,First,pick,18,4
4063222284,Zeus,Loss,The Dire,First,pick,21,5
4063222284,Wraith King,Loss,The Dire,First,ban,1,1
4063222284,Pugna,Loss,The Dire,First,ban,3,2
4063222284,Silencer,Loss,The Dire,First,ban,5,3
4063222284,Undying,Loss,The Dire,First,ban,11,4
4063222284,Crystal Maiden,Loss,The Dire,First,ban,13,5
4063222284,Broodmother,Loss,The Dire,First,ban,20,6
4063289036,Wraith King,Win,The Dire,Second,pick,8,1
4063289036,Pugna,Win,The Dire,Second,pick,9,2
4063289036,Tusk,Win,The Dire,Second,pick,15,3
4063289036,Necrophos,Win,The Dire,Second,pick,17,4
4063289036,Alchemist,Win,The Dire,Second,pick,22,5
4063289036,Weaver,Win,The Dire,Second,ban,2,1
4063289036,Broodmother,Win,The Dire,Second,ban,4,2
4063289036,Io,Win,The Dire,Second,ban,6,3
4063289036,Nyx Assassin,Win,The Dire,Second,ban,12,4
4063289036,Enchantress,Win,The Dire,Second,ban,14,5
4063289036,Invoker,Win,The Dire,Second,ban,19,6
4063289036,Vengeful Spirit,Loss,The Radiant,First,pick,7,1
4063289036,Nature's Prophet,Loss,The Radiant,First,pick,10,2
4063289036,Clinkz,Loss,The Radiant,First,pick,16,3
4063289036,Chen,Loss,The Radiant,First,pick,18,4
4063289036,Visage,Loss,The Radiant,First,pick,21,5
4063289036,Undying,Loss,The Radiant,First,ban,1,1
4063289036,Mirana,Loss,The Radiant,First,ban,3,2
4063289036,Silencer,Loss,The Radiant,First,ban,5,3
4063289036,Dark Willow,Loss,The Radiant,First,ban,11,4
4063289036,Phantom Lancer,Loss,The Radiant,First,ban,13,5
4063289036,Dragon Knight,Loss,The Radiant,First,ban,20,6
4063369023,Tiny,Loss,The Dire,Second,pick,8,1
4063369023,Phoenix,Loss,The Dire,Second,pick,9,2
4063369023,Enchantress,Loss,The Dire,Second,pick,15,3
4063369023,Earth Spirit,Loss,The Dire,Second,pick,17,4
4063369023,Templar Assassin,Loss,The Dire,Second,pick,22,5
4063369023,Broodmother,Loss,The Dire,Second,ban,2,1
4063369023,Weaver,Loss,The Dire,Second,ban,4,2
4063369023,Io,Loss,The Dire,Second,ban,6,3
4063369023,Ursa,Loss,The Dire,Second,ban,12,4
4063369023,Bloodseeker,Loss,The Dire,Second,ban,14,5
4063369023,Invoker,Loss,The Dire,Second,ban,19,6
4063369023,Vengeful Spirit,Win,The Radiant,First,pick,7,1
4063369023,Mirana,Win,The Radiant,First,pick,10,2
4063369023,Bane,Win,The Radiant,First,pick,16,3
4063369023,Lifestealer,Win,The Radiant,First,pick,18,4
4063369023,Lina,Win,The Radiant,First,pick,21,5
4063369023,Pugna,Win,The Radiant,First,ban,1,1
4063369023,Wraith King,Win,The Radiant,First,ban,3,2
4063369023,Silencer,Win,The Radiant,First,ban,5,3
4063369023,Necrophos,Win,The Radiant,First,ban,11,4
4063369023,Phantom Lancer,Win,The Radiant,First,ban,13,5
4063369023,Alchemist,Win,The Radiant,First,ban,20,6
4063286002,Weaver,Win,The Dire,First,pick,7,1
4063286002,Phoenix,Win,The Dire,First,pick,10,2
4063286002,Bane,Win,The Dire,First,pick,16,3
4063286002,Drow Ranger,Win,The Dire,First,pick,18,4
4063286002,Storm Spirit,Win,The Dire,First,pick,21,5
4063286002,Crystal Maiden,Win,The Dire,First,ban,1,1
4063286002,Undying,Win,The Dire,First,ban,3,2
4063286002,Silencer,Win,The Dire,First,ban,5,3
4063286002,Nature's Prophet,Win,The Dire,First,ban,11,4
4063286002,Lycan,Win,The Dire,First,ban,13,5
4063286002,Broodmother,Win,The Dire,First,ban,20,6
4063286002,Earthshaker,Loss,The Radiant,Second,pick,8,1
4063286002,Necrophos,Loss,The Radiant,Second,pick,9,2
4063286002,Disruptor,Loss,The Radiant,Second,pick,15,3
4063286002,Ursa,Loss,The Radiant,Second,pick,17,4
4063286002,Lina,Loss,The Radiant,Second,pick,22,5
4063286002,Io,Loss,The Radiant,Second,ban,2,1
4063286002,Enchantress,Loss,The Radiant,Second,ban,4,2
4063286002,Chen,Loss,The Radiant,Second,ban,6,3
4063286002,Wraith King,Loss,The Radiant,Second,ban,12,4
4063286002,Clockwerk,Loss,The Radiant,Second,ban,14,5
4063286002,Invoker,Loss,The Radiant,Second,ban,19,6
4063350513,Earthshaker,Win,The Radiant,Second,pick,8,1
4063350513,Clinkz,Win,The Radiant,Second,pick,9,2
4063350513,Vengeful Spirit,Win,The Radiant,Second,pick,15,3
4063350513,Mirana,Win,The Radiant,Second,pick,17,4
4063350513,Huskar,Win,The Radiant,Second,pick,22,5
4063350513,Undying,Win,The Radiant,Second,ban,2,1
4063350513,Crystal Maiden,Win,The Radiant,Second,ban,4,2
4063350513,Necrophos,Win,The Radiant,Second,ban,6,3
4063350513,Spectre,Win,The Radiant,Second,ban,12,4
4063350513,Ursa,Win,The Radiant,Second,ban,14,5
4063350513,Terrorblade,Win,The Radiant,Second,ban,19,6
4063350513,Chen,Loss,The Dire,First,pick,7,1
4063350513,Tiny,Loss,The Dire,First,pick,10,2
4063350513,Lich,Loss,The Dire,First,pick,16,3
4063350513,Wraith King,Loss,The Dire,First,pick,18,4
4063350513,Zeus,Loss,The Dire,First,pick,21,5
4063350513,Io,Loss,The Dire,First,ban,1,1
4063350513,Enchantress,Loss,The Dire,First,ban,3,2
4063350513,Weaver,Loss,The Dire,First,ban,5,3
4063350513,Lina,Loss,The Dire,First,ban,11,4
4063350513,Bane,Loss,The Dire,First,ban,13,5
4063350513,Invoker,Loss,The Dire,First,ban,20,6
4063299885,Necrophos,Win,The Radiant,Second,pick,8,1
4063299885,Crystal Maiden,Win,The Radiant,Second,pick,9,2
4063299885,Ursa,Win,The Radiant,Second,pick,15,3
4063299885,Undying,Win,The Radiant,Second,pick,17,4
4063299885,Storm Spirit,Win,The Radiant,Second,pick,22,5
4063299885,Io,Win,The Radiant,Second,ban,2,1
4063299885,Silencer,Win,The Radiant,Second,ban,4,2
4063299885,Pugna,Win,The Radiant,Second,ban,6,3
4063299885,Enigma,Win,The Radiant,Second,ban,12,4
4063299885,Weaver,Win,The Radiant,Second,ban,14,5
4063299885,Invoker,Win,The Radiant,Second,ban,19,6
4063299885,Tiny,Loss,The Dire,First,pick,7,1
4063299885,Oracle,Loss,The Dire,First,pick,10,2
4063299885,Centaur Warrunner,Loss,The Dire,First,pick,16,3
4063299885,Arc Warden,Loss,The Dire,First,pick,18,4
4063299885,Windranger,Loss,The Dire,First,pick,21,5
4063299885,Phoenix,Loss,The Dire,First,ban,1,1
4063299885,Enchantress,Loss,The Dire,First,ban,3,2
4063299885,Wraith King,Loss,The Dire,First,ban,5,3
4063299885,Alchemist,Loss,The Dire,First,ban,11,4
4063299885,Clinkz,Loss,The Dire,First,ban,13,5
4063299885,Broodmother,Loss,The Dire,First,ban,20,6
4063359785,Enchantress,Win,The Dire,First,pick,7,1
4063359785,Crystal Maiden,Win,The Dire,First,pick,10,2
4063359785,Nyx Assassin,Win,The Dire,First,pick,16,3
4063359785,Spectre,Win,The Dire,First,pick,18,4
4063359785,Storm Spirit,Win,The Dire,First,pick,21,5
4063359785,Pugna,Win,The Dire,First,ban,1,1
4063359785,Silencer,Win,The Dire,First,ban,3,2
4063359785,Ursa,Win,The Dire,First,ban,5,3
4063359785,Zeus,Win,The Dire,First,ban,11,4
4063359785,Invoker,Win,The Dire,First,ban,13,5
4063359785,Alchemist,Win,The Dire,First,ban,20,6
4063359785,Vengeful Spirit,Loss,The Radiant,Second,pick,8,1
4063359785,Mirana,Loss,The Radiant,Second,pick,9,2
4063359785,Oracle,Loss,The Radiant,Second,pick,15,3
4063359785,Centaur Warrunner,Loss,The Radiant,Second,pick,17,4
4063359785,Monkey King,Loss,The Radiant,Second,pick,22,5
4063359785,Tiny,Loss,The Radiant,Second,ban,2,1
4063359785,Io,Loss,The Radiant,Second,ban,4,2
4063359785,Phoenix,Loss,The Radiant,Second,ban,6,3
4063359785,Necrophos,Loss,The Radiant,Second,ban,12,4
4063359785,Undying,Loss,The Radiant,Second,ban,14,5
4063359785,Lina,Loss,The Radiant,Second,ban,19,6
4063266100,Winter Wyvern,Loss,The Radiant,First,pick,7,1
4063266100,Necrophos,Loss,The Radiant,First,pick,10,2
4063266100,Windranger,Loss,The Radiant,First,pick,16,3
4063266100,Huskar,Loss,The Radiant,First,pick,18,4
4063266100,Treant Protector,Loss,The Radiant,First,pick,21,5
4063266100,Crystal Maiden,Loss,The Radiant,First,ban,1,1
4063266100,Mirana,Loss,The Radiant,First,ban,3,2
4063266100,Silencer,Loss,The Radiant,First,ban,5,3
4063266100,Batrider,Loss,The Radiant,First,ban,11,4
4063266100,Bloodseeker,Loss,The Radiant,First,ban,13,5
4063266100,Ancient Apparition,Loss,The Radiant,First,ban,20,6
4063266100,Vengeful Spirit,Win,The Dire,Second,pick,8,1
4063266100,Tiny,Win,The Dire,Second,pick,9,2
4063266100,Pugna,Win,The Dire,Second,pick,15,3
4063266100,Wraith King,Win,The Dire,Second,pick,17,4
4063266100,Tinker,Win,The Dire,Second,pick,22,5
4063266100,Enchantress,Win,The Dire,Second,ban,2,1
4063266100,Weaver,Win,The Dire,Second,ban,4,2
4063266100,Io,Win,The Dire,Second,ban,6,3
4063266100,Visage,Win,The Dire,Second,ban,12,4
4063266100,Lone Druid,Win,The Dire,Second,ban,14,5
4063266100,Lycan,Win,The Dire,Second,ban,19,6
4063378608,Winter Wyvern,Win,The Dire,First,pick,7,1
4063378608,Drow Ranger,Win,The Dire,First,pick,10,2
4063378608,Dark Willow,Win,The Dire,First,pick,16,3
4063378608,Templar Assassin,Win,The Dire,First,pick,18,4
4063378608,Enigma,Win,The Dire,First,pick,21,5
4063378608,Mirana,Win,The Dire,First,ban,1,1
4063378608,Crystal Maiden,Win,The Dire,First,ban,3,2
4063378608,Silencer,Win,The Dire,First,ban,5,3
4063378608,Wraith King,Win,The Dire,First,ban,11,4
4063378608,Brewmaster,Win,The Dire,First,ban,13,5
